ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,P700_red_initial,CO2
0.9,0.1,0.3,4,1.265547456
0.9,0.1,0.3,6,1.267683372
0.9,0.1,0.3,8,1.269305525
0.9,0.1,0.3,10,1.271215667
0.9,0.1,0.5,0.1,0.817262921
0.9,0.1,0.5,0.5,1.271826945
0.9,0.1,0.5,1,1.279976929
0.9,0.1,0.5,4,1.286460889
0.9,0.1,0.5,6,1.287687105
0.9,0.1,0.5,8,1.290369814
0.9,0.1,0.5,10,1.292171175
0.9,0.1,0.7,0.1,0.574067041
0.9,0.1,0.7,0.5,1.266694979
0.9,0.1,0.7,1,1.286587591
0.9,0.1,0.7,4,1.293669121
0.9,0.1,0.7,6,1.295351017
0.9,0.1,0.7,8,1.297814569
0.9,0.1,0.7,10,1.299147617
0.9,0.1,0.9,0.1,0.218097178
0.9,0.1,0.9,0.5,0.845044731
0.9,0.1,0.9,1,1.203069328
0.9,0.1,0.9,4,1.297358026
0.9,0.1,0.9,6,1.299356559
0.9,0.1,0.9,8,1.301168549
0.9,0.1,0.9,10,1.30245809
0.9,1,0.1,0.1,1.752014347
0.9,1,0.1,0.5,1.717243893
0.9,1,0.1,1,1.71562592
0.9,1,0.1,4,1.717205659
0.9,1,0.1,6,1.719071289
0.9,1,0.1,8,1.720949753
0.9,1,0.1,10,1.722822923
0.9,1,0.3,0.1,1.315341197
0.9,1,0.3,0.5,5.077947605
